Pic Name,number of horizontal rebars,number of vertical rebars,Total rebars
20191024_100109_Depth_64669.png,8,9,17
20191024_100109_Depth_64594.png,8,9,17
20191024_100109_Depth_64690.png,8,9,17
20191024_095044_Depth_47399.png,7,7,14
20191024_095044_Depth_47300.png,7,7,14
20191024_095044_Depth_47351.png,7,7,14
20191024_095044_Depth_47396.png,7,7,14
20190531_100248_Depth_14506.png,4,17,21
20191024_095044_Depth_47366.png,7,7,14
20191024_095044_Depth_47359.png,7,7,14
20190531_102916_Depth_1043.png,7,20,27
20191024_10852_Depth_111976.png,4,11,15
20190531_100248_Depth_14494.png,4,16,20
20191024_100019_Depth_63424.png,7,8,15
20190531_100248_Depth_14517.png,4,17,21
20191024_095044_Depth_47380.png,7,7,14
20191024_100109_Depth_64588.png,8,9,17
20190531_103143_Depth_5539.png,7,30,37
20190531_105339_Depth_962.png,6,30,36
20191024_100109_Depth_64613.png,8,9,17
20191024_10852_Depth_112041.png,4,11,15
20190531_102916_Depth_1183.png,7,20,27
20190531_105600_Depth_5571.png,11,12,23
20191024_10852_Depth_112022.png,4,11,15
20191024_100019_Depth_63419.png,7,8,15
20190531_105339_Depth_956.png,6,31,37
20191024_100019_Depth_63466.png,7,8,15
20190531_103143_Depth_5489.png,7,31,38
20190531_103143_Depth_5529.png,7,30,37
20190531_102916_Depth_1051.png,7,21,28
20190531_100725_Depth_20811.png,4,9,13
20190531_100248_Depth_14549.png,4,18,22
20191024_095044_Depth_47290.png,7,7,14
20191024_100109_Depth_64570.png,8,9,17
20191024_100019_Depth_63453.png,7,8,15
20190531_100725_Depth_20904.png,4,10,14
20190531_103143_Depth_5441.png,7,30,37
20191024_100019_Depth_63406.png,7,8,15
20191024_095044_Depth_47358.png,7,7,14
20190531_105339_Depth_871.png,6,28,34
20191024_095044_Depth_47384.png,7,7,14
20190531_102916_Depth_1041.png,7,21,28
20190531_100633_Depth_19251.png,4,4,8
20191024_095044_Depth_47291.png,7,7,14
20190531_100633_Depth_19306.png,4,7,11
20190531_102916_Depth_1046.png,7,21,28
20190531_105339_Depth_977.png,6,30,36
20191024_095044_Depth_47324.png,7,7,14
20191024_100109_Depth_64654.png,8,9,17
20191024_095044_Depth_47371.png,7,7,14
20191024_100109_Depth_64634.png,8,9,17
20190531_100633_Depth_19238.png,4,6,10
20190531_100248_Depth_14516.png,4,18,22
20190531_100633_Depth_19271.png,4,5,9
20190531_100725_Depth_20808.png,4,9,13
20191024_095044_Depth_47349.png,7,7,14
20190531_105339_Depth_886.png,7,30,37
20190531_100725_Depth_20822.png,4,10,14
20190531_100633_Depth_19288.png,4,5,9
20191024_095044_Depth_47388.png,7,7,14
20191024_100019_Depth_63408.png,7,8,15
20190531_100633_Depth_19316.png,4,7,11
20190531_105600_Depth_5531.png,14,13,27
20191024_100019_Depth_63444.png,7,8,15
20191024_100019_Depth_63396.png,7,8,15
20191024_095044_Depth_47320.png,7,7,14
20190531_100248_Depth_14479.png,4,16,20
20190531_100248_Depth_14532.png,4,18,22
20191024_095044_Depth_47297.png,7,7,14
20190531_100725_Depth_20862.png,4,9,13
20191024_10852_Depth_111969.png,4,11,15
20190531_100248_Depth_14475.png,4,15,19
20191024_095044_Depth_47395.png,7,7,14
20190531_105600_Depth_5470.png,14,15,29
20190531_105339_Depth_890.png,7,30,37
