image,label
0000.png,0
0001.png,1
0002.png,1
0003.png,1
0004.png,1
0005.png,0
0006.png,1
0007.png,0
0008.png,1
0009.png,0
0010.png,1
0011.png,0
0012.png,0
0013.png,1
0014.png,1
0015.png,0
0016.png,1
0017.png,0
0018.png,0
0019.png,0
0020.png,0
0021.png,1
0022.png,0
0023.png,1
0024.png,0
0025.png,1
0026.png,1
0027.png,1
0028.png,0
0029.png,1
0030.png,0
0031.png,0
0032.png,0
0033.png,1
0034.png,1
0035.png,0
0036.png,0
0037.png,0
0038.png,1
0039.png,0
0040.png,0
0041.png,0
0042.png,0
0043.png,1
0044.png,0
0045.png,0
0046.png,0
0047.png,0
0048.png,0
0049.png,0
0050.png,1
0051.png,0
0052.png,1
0053.png,1
0054.png,0
0055.png,0
0056.png,0
0057.png,1
0058.png,0
0059.png,0
0060.png,0
0061.png,1
0062.png,0
0063.png,1
0064.png,0
0065.png,1
0066.png,1
0067.png,0
0068.png,0
0069.png,1
0070.png,1
0071.png,0
0072.png,0
0073.png,0
0074.png,1
0075.png,1
0076.png,0
0077.png,0
0078.png,1
0079.png,0
0080.png,0
0081.png,0
0082.png,0
0083.png,1
0084.png,1
0085.png,0
0086.png,1
0087.png,1
0088.png,0
0089.png,0
0090.png,0
0091.png,0
0092.png,0
0093.png,0
0094.png,0
0095.png,1
0096.png,0
0097.png,1
0098.png,1
0099.png,0
0100.png,0
0101.png,0
0102.png,1
0103.png,0
0104.png,0
0105.png,0
0106.png,1
0107.png,1
0108.png,1
0109.png,0
0110.png,1
0111.png,0
0112.png,1
0113.png,0
0114.png,1
0115.png,0
0116.png,0
0117.png,1
0118.png,1
0119.png,0
0120.png,1
0121.png,0
0122.png,1
0123.png,0
0124.png,0
0125.png,1
0126.png,0
0127.png,1
0128.png,0
0129.png,1
0130.png,0
0131.png,1
0132.png,0
0133.png,0
0134.png,1
0135.png,1
0136.png,0
0137.png,1
0138.png,1
0139.png,1
0140.png,1
0141.png,1
0142.png,0
0143.png,1
0144.png,0
0145.png,0
0146.png,0
0147.png,0
0148.png,1
0149.png,1
0150.png,0
0151.png,0
0152.png,1
0153.png,0
0154.png,0
0155.png,0
0156.png,1
0157.png,0
0158.png,0
0159.png,0
0160.png,0
0161.png,1
0162.png,1
0163.png,1
0164.png,0
0165.png,1
0166.png,0
0167.png,0
0168.png,0
0169.png,0
0170.png,1
0171.png,0
0172.png,1
0173.png,0
0174.png,0
0175.png,1
0176.png,0
0177.png,0
0178.png,1
0179.png,1
0180.png,1
0181.png,0
0182.png,1
0183.png,1
0184.png,1
0185.png,0
0186.png,1
0187.png,1
0188.png,1
0189.png,0
0190.png,1
0191.png,0
0192.png,1
0193.png,1
0194.png,1
0195.png,0
0196.png,0
0197.png,0
0198.png,0
0199.png,1
0200.png,1
0201.png,0
0202.png,0
0203.png,0
0204.png,0
0205.png,1
0206.png,0
0207.png,0
0208.png,1
0209.png,1
0210.png,0
0211.png,0
0212.png,1
0213.png,1
0214.png,1
0215.png,1
0216.png,0
0217.png,1
0218.png,0
0219.png,1
0220.png,1
0221.png,0
0222.png,0
0223.png,0
0224.png,1
0225.png,1
0226.png,1
0227.png,0
0228.png,1
0229.png,0
0230.png,1
0231.png,1
0232.png,1
0233.png,1
0234.png,0
0235.png,0
0236.png,1
0237.png,1
0238.png,0
0239.png,0
0240.png,0
0241.png,0
0242.png,0
0243.png,1
0244.png,1
0245.png,0
0246.png,1
0247.png,0
0248.png,1
0249.png,0
0250.png,1
0251.png,0
0252.png,0
0253.png,0
0254.png,1
0255.png,1
0256.png,0
0257.png,1
0258.png,0
0259.png,1
0260.png,0
0261.png,1
0262.png,1
0263.png,1
0264.png,0
0265.png,0
0266.png,1
0267.png,1
0268.png,0
0269.png,0
0270.png,1
0271.png,0
0272.png,1
0273.png,0
0274.png,1
0275.png,1
0276.png,0
0277.png,0
0278.png,0
0279.png,0
0280.png,1
0281.png,1
0282.png,0
0283.png,0
0284.png,0
0285.png,0
0286.png,1
0287.png,0
0288.png,1
0289.png,1
0290.png,0
0291.png,0
0292.png,0
0293.png,0
0294.png,0
0295.png,1
0296.png,1
0297.png,1
0298.png,1
0299.png,1
0300.png,1
0301.png,0
0302.png,0
0303.png,0
0304.png,0
0305.png,0
0306.png,0
0307.png,0
0308.png,0
0309.png,0
0310.png,0
0311.png,0
0312.png,0
0313.png,0
0314.png,0
0315.png,0
0316.png,1
0317.png,0
0318.png,0
0319.png,0
0320.png,0
0321.png,0
0322.png,1
0323.png,0
0324.png,1
0325.png,0
0326.png,1
0327.png,0
0328.png,1
0329.png,0
0330.png,0
0331.png,0
0332.png,1
0333.png,1
0334.png,1
0335.png,1
0336.png,1
0337.png,0
0338.png,1
0339.png,0
0340.png,0
0341.png,0
0342.png,1
0343.png,0
0344.png,0
0345.png,1
0346.png,0
0347.png,1
0348.png,1
0349.png,1
0350.png,1
0351.png,0
0352.png,1
0353.png,0
0354.png,0
0355.png,1
0356.png,1
0357.png,0
0358.png,1
0359.png,0
0360.png,0
0361.png,1
0362.png,0
0363.png,0
0364.png,0
0365.png,1
0366.png,0
0367.png,0
0368.png,1
0369.png,1
0370.png,1
0371.png,1
0372.png,0
0373.png,0
0374.png,1
0375.png,1
0376.png,1
0377.png,1
0378.png,1
0379.png,1
0380.png,0
0381.png,0
0382.png,1
0383.png,0
0384.png,0
0385.png,0
0386.png,1
0387.png,1
0388.png,0
0389.png,0
0390.png,0
0391.png,1
0392.png,0
0393.png,0
0394.png,0
0395.png,1
0396.png,0
0397.png,0
0398.png,1
0399.png,1
0400.png,1
0401.png,1
0402.png,0
0403.png,0
0404.png,1
0405.png,0
0406.png,1
0407.png,1
0408.png,0
0409.png,1
0410.png,0
0411.png,0
0412.png,0
0413.png,0
0414.png,0
0415.png,0
0416.png,0
0417.png,0
0418.png,0
0419.png,0
0420.png,0
0421.png,1
0422.png,0
0423.png,0
0424.png,1
0425.png,0
0426.png,0
0427.png,0
0428.png,0
0429.png,0
0430.png,1
0431.png,0
0432.png,0
0433.png,1
0434.png,1
0435.png,0
0436.png,0
0437.png,0
0438.png,1
0439.png,0
0440.png,1
0441.png,1
0442.png,0
0443.png,0
0444.png,1
0445.png,0
0446.png,1
0447.png,1
0448.png,0
0449.png,1
0450.png,0
0451.png,1
0452.png,0
0453.png,0
0454.png,1
0455.png,1
0456.png,0
0457.png,0
0458.png,1
0459.png,1
0460.png,1
0461.png,0
0462.png,0
0463.png,1
0464.png,0
0465.png,1
0466.png,0
0467.png,0
0468.png,1
0469.png,0
0470.png,0
0471.png,1
0472.png,1
0473.png,0
0474.png,1
0475.png,1
0476.png,1
0477.png,1
0478.png,0
0479.png,0
0480.png,1
0481.png,0
0482.png,0
0483.png,0
0484.png,1
0485.png,0
0486.png,1
0487.png,1
0488.png,1
0489.png,0
0490.png,1
0491.png,1
0492.png,1
0493.png,0
0494.png,0
0495.png,1
0496.png,0
0497.png,0
0498.png,1
0499.png,0
0500.png,0
0501.png,0
0502.png,1
0503.png,0
0504.png,0
0505.png,1
0506.png,0
0507.png,0
0508.png,0
0509.png,0
0510.png,1
0511.png,1
0512.png,0
0513.png,0
0514.png,0
0515.png,1
0516.png,1
0517.png,0
0518.png,1
0519.png,0
0520.png,0
0521.png,0
0522.png,0
0523.png,0
0524.png,0
0525.png,1
0526.png,0
0527.png,1
0528.png,0
0529.png,0
0530.png,0
0531.png,0
0532.png,1
0533.png,1
0534.png,0
0535.png,0
0536.png,1
0537.png,1
0538.png,0
0539.png,0
0540.png,1
0541.png,1
0542.png,1
0543.png,1
0544.png,1
0545.png,0
0546.png,1
0547.png,1
0548.png,1
0549.png,0
0550.png,0
0551.png,0
0552.png,0
0553.png,0
0554.png,0
0555.png,1
0556.png,0
0557.png,1
0558.png,0
0559.png,1
0560.png,0
0561.png,0
0562.png,0
0563.png,1
0564.png,1
0565.png,0
0566.png,0
0567.png,1
0568.png,0
0569.png,0
0570.png,1
0571.png,0
0572.png,1
0573.png,1
0574.png,1
0575.png,0
0576.png,1
0577.png,0
0578.png,0
0579.png,1
0580.png,1
0581.png,1
0582.png,0
0583.png,1
0584.png,1
0585.png,0
0586.png,1
0587.png,1
0588.png,1
0589.png,0
0590.png,0
0591.png,0
0592.png,0
0593.png,0
0594.png,0
0595.png,1
0596.png,1
0597.png,0
0598.png,1
0599.png,0
0600.png,1
0601.png,1
0602.png,0
0603.png,1
0604.png,1
0605.png,0
0606.png,0
0607.png,0
0608.png,0
0609.png,0
0610.png,1
0611.png,1
0612.png,1
0613.png,1
0614.png,0
0615.png,1
0616.png,0
0617.png,0
0618.png,0
0619.png,0
0620.png,1
0621.png,0
0622.png,0
0623.png,1
0624.png,0
0625.png,0
0626.png,0
0627.png,1
0628.png,1
0629.png,1
0630.png,0
0631.png,0
0632.png,1
0633.png,1
0634.png,0
0635.png,1
0636.png,0
0637.png,1
0638.png,1
0639.png,0
0640.png,0
0641.png,0
0642.png,1
0643.png,1
0644.png,1
0645.png,0
0646.png,0
0647.png,1
0648.png,0
0649.png,0
0650.png,0
0651.png,0
0652.png,0
0653.png,1
0654.png,0
0655.png,0
0656.png,0
0657.png,1
0658.png,1
0659.png,0
0660.png,1
0661.png,1
0662.png,0
0663.png,1
0664.png,1
0665.png,1
0666.png,1
0667.png,1
0668.png,1
0669.png,1
0670.png,1
0671.png,1
0672.png,0
0673.png,0
0674.png,1
0675.png,1
0676.png,1
0677.png,0
0678.png,1
0679.png,0
0680.png,1
0681.png,0
0682.png,1
0683.png,0
0684.png,0
0685.png,1
0686.png,0
0687.png,0
0688.png,0
0689.png,0
0690.png,0
0691.png,0
0692.png,0
0693.png,1
0694.png,0
0695.png,0
0696.png,1
0697.png,1
0698.png,1
0699.png,1
0700.png,0
0701.png,0
0702.png,0
0703.png,1
0704.png,0
0705.png,0
0706.png,0
0707.png,1
0708.png,0
0709.png,1
0710.png,1
0711.png,1
0712.png,0
0713.png,0
0714.png,0
0715.png,1
0716.png,1
0717.png,0
0718.png,1
0719.png,1
0720.png,0
0721.png,1
0722.png,0
0723.png,0
0724.png,0
0725.png,1
0726.png,1
0727.png,1
0728.png,1
0729.png,0
0730.png,0
0731.png,0
0732.png,0
0733.png,1
0734.png,1
0735.png,0
0736.png,0
0737.png,0
0738.png,1
0739.png,1
0740.png,1
0741.png,0
0742.png,1
0743.png,0
0744.png,1
0745.png,0
0746.png,1
0747.png,0
0748.png,1
0749.png,0
0750.png,0
0751.png,0
0752.png,1
0753.png,1
0754.png,1
0755.png,0
0756.png,0
0757.png,1
0758.png,0
0759.png,0
0760.png,1
0761.png,0
0762.png,0
0763.png,0
0764.png,0
0765.png,1
0766.png,1
0767.png,1
0768.png,0
0769.png,0
0770.png,1
0771.png,0
0772.png,1
0773.png,0
0774.png,0
0775.png,0
0776.png,1
0777.png,0
0778.png,1
0779.png,0
0780.png,0
0781.png,0
0782.png,1
0783.png,0
0784.png,1
0785.png,1
0786.png,0
0787.png,1
0788.png,0
0789.png,0
0790.png,0
0791.png,0
0792.png,0
0793.png,0
0794.png,0
0795.png,1
0796.png,1
0797.png,0
0798.png,0
0799.png,1
0800.png,0
0801.png,1
0802.png,0
0803.png,1
0804.png,1
0805.png,1
0806.png,0
0807.png,1
0808.png,1
0809.png,1
0810.png,1
0811.png,0
0812.png,0
0813.png,1
0814.png,0
0815.png,1
0816.png,1
0817.png,1
0818.png,1
0819.png,1
0820.png,1
0821.png,1
0822.png,1
0823.png,0
0824.png,0
0825.png,0
0826.png,1
0827.png,1
0828.png,0
0829.png,0
0830.png,1
0831.png,0
0832.png,1
0833.png,0
0834.png,1
0835.png,0
0836.png,0
0837.png,1
0838.png,0
0839.png,0
0840.png,0
0841.png,0
0842.png,1
0843.png,0
0844.png,0
0845.png,0
0846.png,0
0847.png,0
0848.png,0
0849.png,0
0850.png,0
0851.png,0
0852.png,0
0853.png,0
0854.png,0
0855.png,1
0856.png,1
0857.png,0
0858.png,1
0859.png,1
0860.png,0
0861.png,1
0862.png,0
0863.png,1
0864.png,1
0865.png,0
0866.png,0
0867.png,1
0868.png,1
0869.png,1
0870.png,1
0871.png,0
0872.png,0
0873.png,1
0874.png,0
0875.png,0
0876.png,0
0877.png,1
0878.png,1
0879.png,1
0880.png,0
0881.png,0
0882.png,0
0883.png,0
0884.png,0
0885.png,1
0886.png,1
0887.png,0
0888.png,1
0889.png,0
0890.png,0
0891.png,0
0892.png,0
0893.png,0
0894.png,0
0895.png,1
0896.png,0
0897.png,0
0898.png,1
0899.png,0
0900.png,1
0901.png,0
0902.png,1
0903.png,1
0904.png,1
0905.png,1
0906.png,1
0907.png,0
0908.png,0
0909.png,0
0910.png,0
0911.png,0
0912.png,1
0913.png,1
0914.png,0
0915.png,1
0916.png,0
0917.png,1
0918.png,1
